tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
non-candidate,2459229.63,2.1713484,2.0172196,656.8860989,9.604,485.735,10249,4.19,2.16986
candidate,2459987.949,1.9316462,3.166,1286,9.42344,295.862,7070,4.03,2.01
non-candidate,2459224.688,1.8675574,1.408,1500,9.299501,943.109,8924,4.33,5.73
non-candidate,2458493.396,2.74323,3.167,383.41,9.3003,7728.17,5388.5,4.15,1.23434
non-candidate,2459987.047,3.5730141,3.37,755,9.1355,356.437,9219,4.14,2.15
non-candidate,2459985.157,4.5505945,2.654,3731,9.1309,100.711,5613,4.33,1.09
non-candidate,2459229.985,2.5047918,4.3797563,2270.540219,9.2386,365.008,6616,4.33,1.53429
candidate,2459247.931,6.9989206,3.953,2840,8.87759,283.291,6596,3.71,2.7
non-candidate,2460258.236,2.0483755,2.767,483,8.9362,144.297,6858.5,4.2,1.57
candidate,2459229.231,1.9600277,2.0065257,1707.627269,8.4331,866.147,8868.7,4.33,1.23434
candidate,2458326.009,1.4303699,1.6165994,18960.71229,12.4069,375.31,5600,4.48851,0.890774
non-candidate,2459228.878,0.6808702,2.4634563,1507.800689,8.45086,485.122,9438,4.33,1
candidate,2459984.628,2.4704981,2.191,250,8.2388,52.62,5413.7,4.46,0.94
candidate,2459252.51,0.884182,1.621,1890,8.12718,295.959,8928,3.92,2.72
non-candidate,2459232.248,5.4255548,3.9637474,14939.63422,7.6095,510.295,8868.7,4.33,1.23434
non-candidate,2459985.657,1.4095184,0.9484999,2841.510326,7.678,224.672,9307,4.33,1.23434
non-candidate,2459963.61,1.3730466,2.5708515,1301.506534,10.7069,906.496,4897,4.33,6.7996101
non-candidate,2459238.831,12.6889415,7.9201001,3232.852789,10.6257,368.646,7601,4.31,1.53641
non-candidate,2458518.965,1.10422,2.37,14177.7,10.6019,406.997,6995.2,4.07,1.61
non-candidate,2458492.781,4.95912,2.509,7440,10.6254,360.541,5889,3.86,2
candidate,2459232.447,5.2341008,3.7078139,20796.94163,10.6348,399.544,7645,4.3,1.56203
candidate,2460187.917,4.4119378,3.65,15062,9.7109,175.631,6280,4.32092,1.21
non-candidate,2458521.291,3.28892,3.793,10518.9,10.7173,906.827,8734.2,4.1,1.23434
non-candidate,2458492.904,1.90879,1.909,618.482,10.5551,235.974,6022.6,4.52,1.22
non-candidate,2458547.448,3.09574,4.475,380,8.72924,120.666,6084,4.13,1.41
non-candidate,2459303.304,1.3214483,3.435,2180,9.697,316.398,5050.8,3.56,2.99
non-candidate,2458339.723,18.0157,2.524,610,10.0814,692.266,4709,4.33,7.61
candidate,2458545.15,9.6837921,2.4006056,4238.239901,5.5324,129.838,8598.7,4.33,1.23434
non-candidate,2460720.808,14.2628757,6.9350494,913.2067174,9.9138,105.677,5690,4.58,0.853898
candidate,2460037.869,3.2834565,1.537,1558,10.2103,56.3449,4272,4.6,0.68
candidate,2460032.533,11.02875,2.715,1694,10.2103,56.3449,4272,4.6,0.68
candidate,2460032.573,5.0113292,1.024,1210,10.2103,56.3449,4272,4.6,0.68
non-candidate,2458544.481,1.01606,2.843,240,7.9059,23.7748,4634,4.64,0.68
non-candidate,2458365.893,36.22214,5.107,7170,6.841,365.008,5800.55,4.33,1.23434
candidate,2458327.253,3.547854,3.494333,10424.3718,11.5232,411.211,6351,4.22896,1.4
non-candidate,2460054.784,12.1246519,4.612,7279,9.5706,78.41273,4807.6,4.17,1.07
non-candidate,2459304.838,5.652623,3.434,1250,9.7318,270.771,6415.4,3.98,1.92
candidate,2459283.829,5.6643704,3.8087395,3491.823297,9.7611,587.196,10395,4.13,2.3383701
non-candidate,2460195.101,29.0160175,5.345,1389,10.0163,219.94,6113.1,4.33,2.01
non-candidate,2460768.617,3.6404389,2.5339234,476.3077321,9.8174,363.44,9810,4.43,1.60776
candidate,2459286.873,6.0744477,2.4954821,5982.521241,10.1126,347.556,5964,3.7,2.4303801
candidate,2460037.172,3.7795212,2.952,2761,10.2855,184.015,5771,4.31,1.18
non-candidate,2459331.125,1.2025238,1.991,390,9.0211,279.698,9158,4.32,1.74
non-candidate,2459273.372,3.2235985,2.159,680,8.7157,280.765,8904,4.09,2.17
candidate,2460031.217,4.420125,3.956,2466,8.5483,2864.34,5800.55,4.33,1.23434
candidate,2460150.609,4.0872956,5.586113,3572.17125,9.8638,316.678,6036,3.93359,2.2186699
non-candidate,2458520.657,2.55555,1.566,340,8.3854,732.432,10037,4.33,6.04
non-candidate,2459261.801,8.30792,3.228,8350,8.0981,305.034,9081,3.83,3.05
candidate,2459281.338,0.758082,1.8184632,583.93181,9.718,792.633,9917,3.75,3.5086601
